Data,Tempo,Polveri Grosse,Polveri Fine
2021-05-07 16:11:16.051,0 days 16:11:16,0,0
2021-05-07 16:12:23.023,0 days 16:12:23,0,0
2021-05-07 16:13:28.041,0 days 16:13:28,0,0
2021-05-07 16:14:34.025,0 days 16:14:34,0,0
2021-05-07 16:15:40.019,0 days 16:15:40,0,0
2021-05-07 16:16:46.002,0 days 16:16:46,0,0
2021-05-07 16:17:52.001,0 days 16:17:52,0,0
2021-05-07 16:18:57.086,0 days 16:18:57,0,0
2021-05-07 16:20:04.015,0 days 16:20:04,0,0
2021-05-07 16:21:09.054,0 days 16:21:09,0,0
2021-05-07 16:22:15.056,0 days 16:22:15,0,0
2021-05-07 16:23:22.078,0 days 16:23:22,0,0
2021-05-07 16:24:27.033,0 days 16:24:27,0,0
2021-05-07 16:25:33.056,0 days 16:25:33,35,35
2021-05-07 16:26:39.075,0 days 16:26:39,0,0
2021-05-07 16:27:45.023,0 days 16:27:45,0,0
2021-05-07 16:28:51.019,0 days 16:28:51,0,0
2021-05-07 16:29:57.038,0 days 16:29:57,0,0
2021-05-07 16:31:03.053,0 days 16:31:03,0,0
2021-05-07 16:32:09.004,0 days 16:32:09,0,0
2021-05-07 16:33:15.020,0 days 16:33:15,0,0
2021-05-07 16:34:21.096,0 days 16:34:21,0,0
2021-05-07 16:35:27.040,0 days 16:35:27,0,0
2021-05-07 16:36:33.044,0 days 16:36:33,0,0
2021-05-07 16:37:38.098,0 days 16:37:38,0,0
2021-05-07 16:38:44.091,0 days 16:38:44,0,0
2021-05-07 16:39:51.007,0 days 16:39:51,0,0
2021-05-07 16:40:57.013,0 days 16:40:57,0,0
2021-05-07 16:42:02.054,0 days 16:42:02,0,35
2021-05-07 16:43:08.065,0 days 16:43:08,0,0
2021-05-07 16:44:14.072,0 days 16:44:14,0,0
2021-05-07 16:45:20.091,0 days 16:45:20,0,0
2021-05-07 16:46:26.040,0 days 16:46:26,0,35
2021-05-07 16:47:32.081,0 days 16:47:32,0,0
2021-05-07 16:48:38.037,0 days 16:48:38,0,0
2021-05-07 16:49:44.063,0 days 16:49:44,0,35
2021-05-07 16:50:50.014,0 days 16:50:50,0,0
2021-05-07 16:51:56.058,0 days 16:51:56,0,0
2021-05-07 16:53:02.016,0 days 16:53:02,0,0
2021-05-07 16:54:08.050,0 days 16:54:08,0,0
2021-05-07 16:55:15.002,0 days 16:55:15,0,0
2021-05-07 16:56:20.011,0 days 16:56:20,0,0
2021-05-07 16:57:26.037,0 days 16:57:26,0,0
2021-05-07 16:58:32.004,0 days 16:58:32,0,0
2021-05-07 16:59:38.051,0 days 16:59:38,0,0
2021-05-07 17:00:44.005,0 days 17:00:44,0,0
2021-05-07 17:01:50.026,0 days 17:01:50,0,0
2021-05-07 17:02:55.075,0 days 17:02:55,0,0
2021-05-07 17:04:02.006,0 days 17:04:02,0,0
2021-05-07 17:05:07.084,0 days 17:05:07,0,0
2021-05-07 17:06:14.007,0 days 17:06:14,0,35
2021-05-07 17:07:20.002,0 days 17:07:20,0,0
2021-05-07 17:08:25.051,0 days 17:08:25,0,0
2021-05-07 17:09:31.080,0 days 17:09:31,0,0
2021-05-07 17:10:37.050,0 days 17:10:37,0,0
2021-05-07 17:11:43.078,0 days 17:11:43,0,0
2021-05-07 17:12:49.033,0 days 17:12:49,0,0
2021-05-07 17:13:55.066,0 days 17:13:55,0,0
2021-05-07 17:15:01.027,0 days 17:15:01,0,0
2021-05-07 17:16:08.025,0 days 17:16:08,0,0
2021-05-07 17:17:13.016,0 days 17:17:13,0,0
2021-05-07 17:18:19.055,0 days 17:18:19,0,0
2021-05-07 17:19:25.031,0 days 17:19:25,0,0
2021-05-07 17:20:31.047,0 days 17:20:31,0,0
2021-05-07 17:21:37.010,0 days 17:21:37,0,0
2021-05-07 17:22:43.029,0 days 17:22:43,0,0
2021-05-07 17:23:49.000,0 days 17:23:49,0,0
2021-05-07 17:24:55.012,0 days 17:24:55,0,0
2021-05-07 17:26:00.068,0 days 17:26:00,0,0
2021-05-07 17:27:07.008,0 days 17:27:07,0,0
2021-05-07 17:28:12.067,0 days 17:28:12,0,0
2021-05-07 17:29:19.010,0 days 17:29:19,0,0
2021-05-07 17:30:24.058,0 days 17:30:24,0,0
2021-05-07 17:31:30.088,0 days 17:31:30,0,0
2021-05-07 17:32:36.050,0 days 17:32:36,0,0
2021-05-07 17:33:42.088,0 days 17:33:42,0,0
2021-05-07 17:34:48.039,0 days 17:34:48,0,0
2021-05-07 17:35:54.066,0 days 17:35:54,0,0
2021-05-07 17:37:00.075,0 days 17:37:00,0,0
2021-05-07 17:38:06.037,0 days 17:38:06,0,0
2021-05-07 17:39:12.049,0 days 17:39:12,0,0
2021-05-07 17:40:18.010,0 days 17:40:18,0,0
2021-05-07 17:41:24.045,0 days 17:41:24,0,0
2021-05-07 17:42:30.057,0 days 17:42:30,0,0
2021-05-07 17:43:36.010,0 days 17:43:36,0,0
2021-05-07 17:44:42.020,0 days 17:44:42,0,0
2021-05-07 17:45:48.052,0 days 17:45:48,0,0
2021-05-07 17:46:53.099,0 days 17:46:53,0,0
2021-05-07 17:48:00.018,0 days 17:48:00,0,0
2021-05-07 17:49:05.072,0 days 17:49:05,0,0
2021-05-07 17:50:11.085,0 days 17:50:11,0,0
2021-05-07 17:51:17.063,0 days 17:51:17,0,0
2021-05-07 17:52:23.077,0 days 17:52:23,0,0
2021-05-07 17:53:30.001,0 days 17:53:30,0,0
2021-05-07 17:54:36.014,0 days 17:54:36,0,35
2021-05-07 17:55:41.054,0 days 17:55:41,0,35
2021-05-07 17:56:47.062,0 days 17:56:47,0,0
2021-05-07 17:57:54.065,0 days 17:57:54,0,0
2021-05-07 17:58:59.042,0 days 17:58:59,0,0
2021-05-07 18:00:05.058,0 days 18:00:05,0,0
2021-05-07 18:01:11.080,0 days 18:01:11,0,0
2021-05-07 18:02:17.050,0 days 18:02:17,0,0
2021-05-07 18:03:23.077,0 days 18:03:23,0,0
2021-05-07 18:04:29.031,0 days 18:04:29,0,0
2021-05-07 18:05:35.064,0 days 18:05:35,0,0
2021-05-07 18:06:41.010,0 days 18:06:41,0,0
2021-05-07 18:07:47.032,0 days 18:07:47,0,0
2021-05-07 18:08:53.050,0 days 18:08:53,0,0
2021-05-07 18:09:59.001,0 days 18:09:59,0,0
2021-05-07 18:11:05.020,0 days 18:11:05,0,0
2021-05-07 18:12:11.036,0 days 18:12:11,0,0
2021-05-07 18:13:17.023,0 days 18:13:17,0,0
2021-05-07 18:14:22.071,0 days 18:14:22,0,0
2021-05-07 18:15:29.011,0 days 18:15:29,0,0
2021-05-07 18:16:34.061,0 days 18:16:34,0,0
2021-05-07 18:17:40.092,0 days 18:17:40,0,0
2021-05-07 18:18:47.078,0 days 18:18:47,0,0
2021-05-07 18:19:52.074,0 days 18:19:52,0,0
2021-05-07 18:20:58.098,0 days 18:20:58,0,0
2021-05-07 18:22:04.061,0 days 18:22:04,0,0
2021-05-07 18:23:10.092,0 days 18:23:10,0,0
2021-05-07 18:24:16.068,0 days 18:24:16,0,0
2021-05-07 18:25:22.040,0 days 18:25:22,0,0
2021-05-07 18:26:28.064,0 days 18:26:28,0,0
2021-05-07 18:27:34.031,0 days 18:27:34,0,0
2021-05-07 18:28:40.050,0 days 18:28:40,0,0
2021-05-07 18:29:46.084,0 days 18:29:46,0,0
2021-05-07 18:30:52.038,0 days 18:30:52,0,0
2021-05-07 18:31:58.000,0 days 18:31:58,0,0
2021-05-07 18:33:04.031,0 days 18:33:04,0,0
2021-05-07 18:34:10.047,0 days 18:34:10,0,0
2021-05-07 18:35:16.031,0 days 18:35:16,0,0
2021-05-07 18:36:21.077,0 days 18:36:21,0,0
2021-05-07 18:37:28.022,0 days 18:37:28,0,0
2021-05-07 18:38:33.089,0 days 18:38:33,0,35
